Cód.Art. Ripley,UPC,Desc.Art. Ripley,Cód.Art.Prov. (Case Pack),Desc.Art.Prov.(Case Pack),Sucursal,Venta (u),Venta ($),Transfer. on Order(u),Transfer. on Order($),Stock on Hand Disponible (u),Stock on Hand Disponible ($),Costo De Venta($),Mark-up,Marca,Temp.
40104137,,ASPIRADORA CICLONICA KARCHER VC3,4054278991757,ASPIRADORA CICLONICA KARCHER VC3,Portal Temuco,0,0.0,3,239.279,1,79.760,0.0,0,KARCHER,TODA TEMPORADA
40104137,,ASPIRADORA CICLONICA KARCHER VC3,4054278991757,ASPIRADORA CICLONICA KARCHER VC3,REDEX,0,0.0,0,0.0,4,319.038,0.0,0,KARCHER,TODA TEMPORADA
40104138,,ASPIRADORA INALAMBRICA KARCHER VCL3,7891374301601,ASPIRADORA INALAMBRICA KARCHER VCL3,REDEX,0,0.0,0,0.0,43,2.271.163,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,Parque Arauco,0,0.0,8,372.613,0,0,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,El Trebol,0,0.0,7,326.036,1,46.577,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,Marina Arauco,0,0.0,0,0.0,1,46.577,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,Portal Temuco,0,0.0,7,326.036,1,46.577,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,Plaza Egana,0,0.0,0,0.0,1,46.577,0.0,0,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,REDEX,0,0.0,0,0.0,18,838.379,0.0,0,KARCHER,TODA TEMPORADA
40104143,,ESCOBA INALAMBRICA KARCHER KB5,4054278974750,ESCOBA INALAMBRICA KARCHER KB5,Talca,0,0.0,0,0.0,1,56.191,0.0,0,KARCHER,TODA TEMPORADA
40104145,,LIMPIA VAPOR KARCHER SC2 EF,4054278975122,LIMPIA VAPOR KARCHER SC2 EF,Parque Arauco,0,0.0,0,0.0,4,411.160,0.0,0,KARCHER,TODA TEMPORADA
40104145,,LIMPIA VAPOR KARCHER SC2 EF,4054278975122,LIMPIA VAPOR KARCHER SC2 EF,El Trebol,0,0.0,0,0.0,5,513.950,0.0,0,KARCHER,TODA TEMPORADA
40104145,,LIMPIA VAPOR KARCHER SC2 EF,4054278975122,LIMPIA VAPOR KARCHER SC2 EF,Portal Temuco,0,0.0,0,0.0,4,411.160,0.0,0,KARCHER,TODA TEMPORADA
40104148,,LIMPIA VIDRIO KARCHER WV1 INALAMBRICO,4054278976327,LIMPIA VIDRIO KARCHER WV1 INALAMBRICO,REDEX,0,0.0,0,0.0,8,377.576,0.0,0,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,Parque Arauco,0,0.0,0,0.0,4,912.011,0.0,0,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,El Trebol,0,0.0,0,0.0,4,912.011,0.0,0,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,La Calera,0,0.0,0,0.0,1,228.003,0.0,0,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,REDEX,0,0.0,0,0.0,3,684.009,0.0,0,KARCHER,TODA TEMPORADA
40489390,,ASPIRADORA KARCHER ROBOT RCV3,4054278965727,ASPIRADORA KARCHER ROBOT RCV3,Parque Arauco,0,0.0,0,0.0,4,831.089,0.0,0,KARCHER,TODA TEMPORADA
40489390,,ASPIRADORA KARCHER ROBOT RCV3,4054278965727,ASPIRADORA KARCHER ROBOT RCV3,El Trebol,0,0.0,0,0.0,3,623.316,0.0,0,KARCHER,TODA TEMPORADA
40489390,,ASPIRADORA KARCHER ROBOT RCV3,4054278965727,ASPIRADORA KARCHER ROBOT RCV3,REDEX,0,0.0,0,0.0,11,2.285.493,0.0,0,KARCHER,TODA TEMPORADA
40489391,,ASPIRADORA KARCHER VC1 BLANCA,4054278990491,ASPIRADORA KARCHER VC1 BLANCA,REDEX,0,0.0,0,0.0,8,386.672,0.0,0,KARCHER,TODA TEMPORADA
40489392,,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,4054278975375,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,Parque Arauco,0,0.0,0,0.0,3,571.746,0.0,0,KARCHER,TODA TEMPORADA
40489392,,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,4054278975375,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,El Trebol,0,0.0,0,0.0,3,571.746,0.0,0,KARCHER,TODA TEMPORADA
40489392,,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,4054278975375,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,Portal Temuco,0,0.0,0,0.0,4,762.328,0.0,0,KARCHER,TODA TEMPORADA
40489392,,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,4054278975375,ASPIRADORA KARCHER VC4 CORDLESS MYHOME,REDEX,0,0.0,0,0.0,5,952.910,0.0,0,KARCHER,TODA TEMPORADA
40489393,,BOLSA DEL FILTRO KARCHER WD1,4054278926346,BOLSA DEL FILTRO KARCHER WD1,Parque Arauco,0,0.0,0,0.0,4,57.112,0.0,0,KARCHER,TODA TEMPORADA
40489393,,BOLSA DEL FILTRO KARCHER WD1,4054278926346,BOLSA DEL FILTRO KARCHER WD1,Portal Temuco,0,0.0,0,0.0,10,142.780,0.0,0,KARCHER,TODA TEMPORADA
40489393,,BOLSA DEL FILTRO KARCHER WD1,4054278926346,BOLSA DEL FILTRO KARCHER WD1,REDEX,0,0.0,0,0.0,9,128.502,0.0,0,KARCHER,TODA TEMPORADA
40489394,,BOLSA DEL FILTRO KARCHER WD3,4054278777689,BOLSA DEL FILTRO KARCHER WD3,El Trebol,0,0.0,0,0.0,9,107.937,0.0,0,KARCHER,TODA TEMPORADA
40489394,,BOLSA DEL FILTRO KARCHER WD3,4054278777689,BOLSA DEL FILTRO KARCHER WD3,Portal Temuco,0,0.0,0,0.0,6,71.958,0.0,0,KARCHER,TODA TEMPORADA
40489394,,BOLSA DEL FILTRO KARCHER WD3,4054278777689,BOLSA DEL FILTRO KARCHER WD3,REDEX,0,0.0,0,0.0,5,59.965,0.0,0,KARCHER,TODA TEMPORADA
40489395,,FILTRO DE MOTOR KARCHER WD/SE,4054278598819,FILTRO DE MOTOR KARCHER WD/SE,Parque Arauco,0,0.0,0,0.0,7,93.954,0.0,0,KARCHER,TODA TEMPORADA
40489395,,FILTRO DE MOTOR KARCHER WD/SE,4054278598819,FILTRO DE MOTOR KARCHER WD/SE,El Trebol,0,0.0,0,0.0,3,40.266,0.0,0,KARCHER,TODA TEMPORADA
40489395,,FILTRO DE MOTOR KARCHER WD/SE,4054278598819,FILTRO DE MOTOR KARCHER WD/SE,Portal Temuco,0,0.0,0,0.0,5,67.110,0.0,0,KARCHER,TODA TEMPORADA
40489395,,FILTRO DE MOTOR KARCHER WD/SE,4054278598819,FILTRO DE MOTOR KARCHER WD/SE,REDEX,0,0.0,0,0.0,6,80.532,0.0,0,KARCHER,TODA TEMPORADA
40489396,,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,4039784712669,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,Parque Arauco,0,0.0,0,0.0,9,75.569,0.0,0,KARCHER,TODA TEMPORADA
40489396,,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,4039784712669,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,El Trebol,0,0.0,0,0.0,5,41.983,0.0,0,KARCHER,TODA TEMPORADA
40579991,,ASPIRADORA CICLONICA KARCHER VCL3,4066529095121,ASPIRADORA CICLONICA KARCHER VCL3,El Trebol,0,0.0,0,0.0,1,48.937,0.0,0,KARCHER,TODA TEMPORADA
40579991,,ASPIRADORA CICLONICA KARCHER VCL3,4066529095121,ASPIRADORA CICLONICA KARCHER VCL3,Florida Center,0,0.0,1,48.937,0,0,0.0,0,KARCHER,TODA TEMPORADA
40579991,,ASPIRADORA CICLONICA KARCHER VCL3,4066529095121,ASPIRADORA CICLONICA KARCHER VCL3,REDEX,0,0.0,0,0.0,14,685.123,0.0,0,KARCHER,TODA TEMPORADA
